
Setup: imagesize =256 cellsize =  LBP 32 type = SVM nu = 0.006811

Computation time in seconds: 	4246


==========================================
RESULTS
	as 0	as 1	as 2	as 3	as 4	as 5	as 6	as 7	as 8	as 9	as 10	as 11	as 12	as 13	as 14	as 15	as 16	as 17	as 18	as 19	as 20	as 21	as 22	as 23	as 24	as 25	as 26	as 27	as 28	as 29	as 30	as 31	as 32	as 33	as 34	as 35	as 36	as 37	as 38	as 39	as 40	as 41	as 42	as 43	as 44	as 45	as 46	as 47	as 48	as 49	as 50	as 51	as 52	as 53	as 54	as 55	as 56	as 57	as 58	as 59	as 60	as 61	as 62	as 63	as 64	as 65	as 66	as 67	as 68	as 69	as 70	as 71	as 72	as 73	as 74	as 75	as 76	as 77	as 78	as 79	as 80	as 81	as 82	as 83	as 84	as 85	as 86	as 87	as 88	as 89	as 90	as 91	as 92	as 93	as 94	as 95	as 96	as 97	as 98	as 99	as 100	as 101	error
class 23	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.264706	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0294118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0294118	0	0	0	0	0	0	0	0.0294118	0	0	0	0	0	0	0	0.735294
class 24	0	0	0	0	0	0.0634921	0	0	0	0	0	0	0	0.015873	0.015873	0	0	0	0	0	0	0	0.047619	0	0	0	0	0	0	0	0	0	0	0	0.015873	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.015873	0.031746	0.015873	0	0	0	0	0	0	0	0	0	0	0.015873	0.031746	0.031746	0	0	0.031746	0	0	0	0	0	0	0	0	0	0.015873	0	0	0	0	0.015873	0.031746	0	0.015873	0	0	0	0	0.015873	0	0.047619	0	0	0	0	0.031746	0	1
class 25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0294118	0	0	0	0	0	0.0294118	0	0	0	0.411765	0	0	0	0.0294118	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.588235
class 26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.228571	0	0	0	0	0.0285714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0285714	0	0	0	0	0	0	0	0.0285714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0285714	0	0	0	0	0	0	0	0	0	0.771429
class 27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0243902	0	0	0	0	0	0	0	0.0243902	0	0	0	0	0.097561	0	0	0.0243902	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0243902	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0243902	0	0	0	0.0243902	0	0	0	0	0	0	0	0.0243902	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0243902	0	0.0243902	0	0	0	0	0.0243902	0	0.902439
class 28	0	0	0	0	0	0.0178571	0	0	0	0	0	0	0.0178571	0	0.0535714	0	0	0	0	0	0.0178571	0	0.0178571	0	0	0	0	0	0.0714286	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0178571	0	0	0.0178571	0.0357143	0	0.0178571	0	0	0	0	0	0	0	0	0	0	0.0178571	0.0357143	0	0	0.0357143	0	0	0	0	0	0	0	0.0178571	0	0	0	0	0	0	0.0357143	0.0357143	0	0	0	0	0	0	0.0178571	0.0178571	0	0	0	0	0	0.0178571	0	0.928571
class 29	0	0	0	0	0	0	0	0	0	0	0	0	0.0285714	0	0	0	0	0	0	0	0.0285714	0	0	0	0	0	0	0	0	0.342857	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0285714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0285714	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.657143
class 30	0	0	0	0	0	0	0	0	0	0	0.030303	0	0	0	0	0	0	0	0	0	0.030303	0	0	0	0	0	0	0	0	0	0.30303	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.69697
class 31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0465116	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.162791	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0465116	0	0	0	0.0465116	0	0	0	0	0	0	0	0.0232558	0	0	0	0.0232558	0	0.0232558	0	0	0	0	0	0	0	0	0	0	0.0232558	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.0232558	0	0	0	0	0.0232558	0	0.837209
class 32	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.027027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.162162	0	0	0	0.027027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.027027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.027027	0	0.027027	0	0.027027	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.837838
